,ga:source,ga:medium,ga:users,ga:sessions
0,(direct),(none),2765,3490
1,baidu,organic,9,9
2,bing,organic,183,253
3,ca.search.yahoo.com,referral,1,1
4,carrosdeguatemala-com.cdn.ampproject.org,referral,1,1
5,Display CPC,google.com,4,4
6,duckduckgo,organic,4,7
7,es.search.yahoo.com,referral,2,2
8,espanol.search.yahoo.com,referral,3,3
9,facebook.com,ClickToWebsite CPC,2,5
10,facebook.com,ClickToWebsiteCPC,1,2
11,facebook.com,Display CPC,4,6
12,facebook.com,referral,23,23
13,facebook.com,Stories CPM,1,1
14,fb,(not set),1,1
15,fb,Facebook_Desktop_Feed,3,3
16,fb,Facebook_Instant_Articles,4,4
17,fb,Facebook_Marketplace,41,41
18,fb,Facebook_Mobile_Feed,336,363
19,fb,Facebook_Right_Column,10,10
20,fb,Others,534,546
21,gateway.zscalertwo.net,referral,1,1
22,global.honda,referral,3,3
23,google,cpc,18094,27841
24,google,organic,4901,6204
25,google.com,Display CPC,194,291
26,google.com,Pre Roll CPV,47,57
27,google.com,PreRollCPV,1,1
28,google.com,Search CPC,23,24
29,Google.com,Display CPC,3,4
30,googleads.g.doubleclick.net,referral,1,1
31,gt.claroideas.com,referral,2,3
32,hondalatincaribbean.com,referral,8,9
33,ig,23850594674950518,1,3
34,ig,Instagram_Explore,1,1
35,ig,Instagram_Feed,26,27
36,ig,Instagram_Reels,13,13
37,info.com,referral,2,2
38,instagram.com,referral,1,1
39,l.facebook.com,referral,162,174
40,l.instagram.com,referral,22,24
41,l.wl.co,referral,20,30
42,lm.facebook.com,referral,490,521
43,m.facebook.com,referral,349,379
44,m.nearbyme.io,referral,1,1
45,Minga Digital,Mobile CPM,32,32
46,Refuel,SpanishDisplay_OBAN,2,4
47,Refuel,SpanishMobile_MBAN,1,1
48,search-dra.dt.dbankcloud.com,referral,1,1
49,storage.googleapis.com,referral,3,3
50,TAP TAP,Atribución Física CPC,10,11
51,yahoo,organic,10,12
52,youtube.com,referral,2,2
